"TIME","GEO","CURRENCY","Value"
"2008S1","Greece","Euro","794.02"
"2008S1","Spain","Euro","700.00"
"2008S1","France","Euro","1,280.07"
"2008S1","Croatia","Euro",":"
"2008S1","Italy","Euro",":"
"2008S1","Cyprus","Euro",":"
"2008S1","Latvia","Euro","229.75"
"2008S1","Lithuania","Euro","231.70"
"2008S1","Luxembourg","Euro","1,570.28"
"2008S1","Hungary","Euro","271.94"
"2008S1","Malta","Euro","617.21"
"2008S1","Netherlands","Euro","1,335.00"
"2008S1","Austria","Euro",":"
"2008S1","Poland","Euro","313.34"
"2008S1","Portugal","Euro","497.00"
"2008S1","Romania","Euro","138.59"
"2008S1","Slovenia","Euro","538.53"
"2008S1","Slovakia","Euro","241.19"
"2008S1","Finland","Euro",":"
"2008S1","Sweden","Euro",":"
"2008S1","Iceland","Euro",":"
"2008S1","Norway","Euro",":"
"2008S1","Switzerland","Euro",":"
